StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,country,country_8_TEXT,english_1,english_2,english_3,english_4,english_5,english_6,english_7,english_8,english_8_TEXT,TimerICF_First Click,TimerICF_Last Click,TimerICF_Page Submit,TimerICF_Click Count,TimeIntro_First Click,TimeIntro_Last Click,TimeIntro_Page Submit,TimeIntro_Click Count,DVPref_Rating_1,DVPref_Time_First Click,DVPref_Time_Last Click,DVPref_Time_Page Submit,DVPref_Time_Click Count,Pref_process,Emp1_1,emp2_1,Involved_1,Mood_1,Mood_2,Mood_3,Mood_4,comprehension_1,CoffeeInterest_1,CoffeeLike_1,CoffeeOften_1,CoffeeFreq,CoffeeFunction_1,CoffeePref,CoffeePref_4_TEXT,Gender,Age_1,EngProficiency_1,feedback,Meta_Browser,Meta_Version,Meta_Operating System,Meta_Resolution,Payment,STUDY_ID,SESSION_ID,Q_TerminateFlag,Scenario,ScenarioLabel,BaseCoffeeID,BaseCoffeeType,ComparisonCoffeeID,ComparisonCoffeeType,Text_Base,Text_Comparison,ComparisonCondition,BaseOnLeft,LeftType,RightType,LeftText,RightText,INTN1,INTN2,INTN3,INTN4,INTN5,nuisance_matched,wc_base,wc_comparison,wc_diff
12/31/25 23:30,12/31/25 23:32,0,100,95,1,12/31/25 23:32,R_5N6wpUbInB47o09,anonymous,EN,1.0,,2,.,0,1,0,1,0,0,0,0,.,0.0,0.0,4.999,0,0.0,0.0,4.765,0,6,5.653,9.278,10.111,2,"I like coffee that tastes chocolatey, but I also want the people involved in the manufacturing and growing of my coffee to be treated well. I should probably be closer to option B.",5,6,7,3,3,4,4,6,5,6,6,1,5,3,.,1,34,7,.,Firefox,146,Windows NT 10.0,1920x1080,5c4277ac1242910001bdbf1a,69553b6533ebc18d5a555cb3,695541a0163ba814254f234f,Complete,1,Base_vs_ShortFT,2,Chocolatey + Full-bodied,1,Nutty + Balanced,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is nutty and balanced, Fair Trade Certified™.",ShortFT,1,BASE,COMPARISON,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is nutty and balanced, Fair Trade Certified™.",-0.15786755600000002,-0.129422661,-0.028825210999999996,-0.020781163000000002,0.0410692975,True,21,10,-11
12/31/25 23:31,12/31/25 23:32,0,100,81,1,12/31/25 23:32,R_5m8XOMgYqE4aSCv,anonymous,EN,0.8999999761581421,,2,.,0,1,0,0,0,0,0,0,.,0.0,0.0,2.595,0,0.0,0.0,4.345,0,1,10.248,10.248,10.969,1,I highly prefer the fair trade coffee for ethical reasons.,5,6,6,3,4,4,4,6,2,2,2,5,2,3,.,2,44,7,.,Edge,142.0.0.0,Windows NT 10.0,1920x1080,5cb5e6927a92c500015c0de1,69553b6533ebc18d5a555cb3,695541ccc3d368344a932803,Complete,2,Base_vs_BaseFT,1,Nutty + Balanced,2,Chocolatey + Full-bodied,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,BaseFT,0,COMPARISON,BASE,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,0.03078869522,-0.10426998800000001,0.061988073,-0.009931117,-0.0367005305,True,21,21,0
12/31/25 23:31,12/31/25 23:33,0,100,133,1,12/31/25 23:33,R_7ARt26RDWmcoPoW,anonymous,EN,1.0,,2,.,0,1,0,0,0,0,0,0,.,0.0,0.0,4.471,0,0.0,0.0,12.101,0,7,14.363,14.363,15.193,1,I prefer a hazelnut flavor to my coffee. I also like fair trade coffee.,7,7,7,6,7,7,7,7,7,7,7,1,7,1,.,2,48,7,.,Chrome,143.0.0.0,Macintosh,1440x900,65417cf270afd2731d6baf38,69553b6533ebc18d5a555cb3,695541b3b72d6623dcfa79da,Complete,3,Base_vs_LongFT,2,Chocolatey + Full-bodied,1,Nutty + Balanced,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee's nutty aroma and balanced taste form a smooth profile with subtle hazelnut notes and a velvety finish. The beans are sourced under Fair Trade Certified™ standards that make trade more equitable, ensuring farmers, workers, and producers are paid fairly, work in safe conditions, and can invest in their communities.",LongFT,1,BASE,COMPARISON,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee's nutty aroma and balanced taste form a smooth profile with subtle hazelnut notes and a velvety finish. The beans are sourced under Fair Trade Certified™ standards that make trade more equitable, ensuring farmers, workers, and producers are paid fairly, work in safe conditions, and can invest in their communities.",-0.029605528000000006,-0.0004352410000000029,-0.032322798199999996,-0.095174655,-0.044192930500000005,True,21,52,31
12/31/25 23:31,12/31/25 23:34,0,100,160,1,12/31/25 23:34,R_5QtiF6riUEpEMvW,anonymous,EN,1.0,,2,.,0,1,0,0,0,0,0,0,.,0.0,0.0,5.355,0,0.0,0.0,9.592,0,6,16.087,16.087,25.929,1,option B better description that captures my attention and desire to try the coffee,6,7,7,6,6,6,6,7,7,7,7,1,5,1,.,1,42,7,.,Chrome,143.0.0.0,Macintosh,1920x1080,5ae39b74030a700001b73262,69553b6533ebc18d5a555cb3,695541c81bef53e4741de249,Complete,1,Base_vs_ShortFT,1,Nutty + Balanced,2,Chocolatey + Full-bodied,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",ShortFT,0,COMPARISON,BASE,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,-0.09886768299999998,-0.20585019,0.058626714999999996,0.088144889,-0.019366402,True,21,10,-11
12/31/25 23:31,12/31/25 23:34,0,100,175,1,12/31/25 23:34,R_19o8QjXKN3aK2Sk,anonymous,EN,1.0,,2,.,0,1,0,0,0,0,0,0,.,0.0,0.0,6.383,0,0.0,0.0,10.138,0,7,21.26,21.26,22.564,1,I felt that B was definitely the option for me because I love chocolate and I am all for fair trade practices,7,7,7,1,1,4,4,7,5,5,3,4,7,3,.,2,49,7,.,Chrome,143.0.0.0,Windows NT 10.0,1536x960,67469dde494c2b78202fc16e,69553b6533ebc18d5a555cb3,695541ca6c9c6796df474e3e,Complete,2,Base_vs_BaseFT,1,Nutty + Balanced,2,Chocolatey + Full-bodied,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,BaseFT,1,BASE,COMPARISON,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,0.03078869522,-0.10426998800000001,0.061988073,-0.009931117,-0.0367005305,True,21,21,0
12/31/25 23:31,12/31/25 23:34,0,100,197,1,12/31/25 23:34,R_3nNM8Xm63500n4t,anonymous,EN,1.0,,2,.,0,1,0,0,0,0,0,0,.,0.0,0.0,2.161,0,0.0,0.0,8.466,0,3,14.591,14.591,15.877,1,"Coffee has a history of treating its workers unfairly in the various countries in which it is produced, so a fair trade option is preferred if it is honest and accurate. ",7,7,7,3,4,4,4,7,7,7,7,1,4,1,.,1,37,7,.,Chrome,143.0.0.0,Macintosh,2560x1440,64da2707c3e6642220490de0,69553b6533ebc18d5a555cb3,695541b6150a7b1002fc99cd,Complete,1,Base_vs_ShortFT,1,Nutty + Balanced,2,Chocolatey + Full-bodied,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",ShortFT,0,COMPARISON,BASE,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,-0.09886768299999998,-0.20585019,0.058626714999999996,0.088144889,-0.019366402,True,21,10,-11
12/31/25 23:32,12/31/25 23:34,0,100,150,1,12/31/25 23:34,R_5gqgxRi45kQ7crf,anonymous,EN,1.0,,2,.,0,1,0,0,0,0,0,1,arabic,7.859,7.859,8.355,1,0.0,0.0,14.635,0,5,10.979,12.678,13.387,3,I wonder if it is hazelnut based? I LOVE chocolate ,5,7,7,6,7,4,5,7,4,4,3,2,7,3,.,2,27,7,.,Chrome,143.0.0.0,Macintosh,1470x956,60ff0b57292f57c9d3829afd,69553b6533ebc18d5a555cb3,695541e975426df0b679a456,Complete,1,Base_vs_ShortFT,1,Nutty + Balanced,2,Chocolatey + Full-bodied,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",ShortFT,1,BASE,COMPARISON,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",-0.09886768299999998,-0.20585019,0.058626714999999996,0.088144889,-0.019366402,True,21,10,-11
12/31/25 23:31,12/31/25 23:34,0,100,183,1,12/31/25 23:34,R_7t8R6Nfndc7Jo4A,anonymous,EN,1.0,,2,.,0,1,0,0,0,0,0,0,.,0.0,0.0,3.427,0,0.0,0.0,23.948,0,6,15.564,16.742,17.569,2,I preferred coffee B because i like chocolate. I think coffee A would also have rich deep taste. I noticed also coffee B is fair trade certified and makes me feel like it is done more responsibly.,6,6,7,6,6,6,6,7,6,6,6,1,6,3,.,1,33,7,.,Chrome,143.0.0.0,Windows NT 10.0,1536x864,66ea6797ef341f18e62ad904,69553b6533ebc18d5a555cb3,695541ca8a00a7d619f3b217,Complete,1,Base_vs_ShortFT,1,Nutty + Balanced,2,Chocolatey + Full-bodied,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",ShortFT,1,BASE,COMPARISON,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee is chocolatey and full-bodied, Fair Trade Certified™.",-0.09886768299999998,-0.20585019,0.058626714999999996,0.088144889,-0.019366402,True,21,10,-11
12/31/25 23:32,12/31/25 23:34,0,100,148,1,12/31/25 23:34,R_5EqTvS8QtofxZa9,anonymous,EN,1.0,,2,.,0,1,0,0,0,0,0,0,.,0.0,0.0,4.515,0,0.0,0.0,10.073,0,6,24.233,27.137,28.685,2,I prefer chocolatey to nutty flavor.,5,5,7,2,6,6,5,5,5,6,7,1,7,3,.,1,57,7,.,Chrome,142.0.0.0,Windows NT 10.0,1920x1080,680cf3759bbfca13d68e130a,69553b6533ebc18d5a555cb3,695541f2f86692800bdbdfcb,Complete,2,Base_vs_BaseFT,1,Nutty + Balanced,2,Chocolatey + Full-bodied,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,BaseFT,1,BASE,COMPARISON,This coffee's nutty aroma and balanced taste form a smooth profile. The beans are sourced through conventional trade practices used commonly.,This fair-trade coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced under Fair Trade Certified™ standards.,0.03078869522,-0.10426998800000001,0.061988073,-0.009931117,-0.0367005305,True,21,21,0
12/31/25 23:30,12/31/25 23:34,0,100,226,1,12/31/25 23:34,R_5qrqJKCS56JknwW,anonymous,EN,1.0,,2,.,0,1,0,0,0,0,0,0,.,24.433,24.433,25.095,1,7.101,7.101,18.938,1,7,10.436,10.436,11.39,1,"I think when the people of the world are supported in commerce, we are all stronger together.",7,7,7,4,6,6,6,7,7,7,6,1,5,4,with milk and honey,2,56,7,.,Chrome,143.0.0.0,Windows NT 10.0,1920x1080,599de51717c03c000151b1f4,69553b6533ebc18d5a555cb3,695541a6b70e39aafe8cdc60,Complete,3,Base_vs_LongFT,2,Chocolatey + Full-bodied,1,Nutty + Balanced,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee's nutty aroma and balanced taste form a smooth profile with subtle hazelnut notes and a velvety finish. The beans are sourced under Fair Trade Certified™ standards that make trade more equitable, ensuring farmers, workers, and producers are paid fairly, work in safe conditions, and can invest in their communities.",LongFT,1,BASE,COMPARISON,This coffee's chocolatey aroma and full-bodied taste deliver a deep finish. The beans are sourced through conventional trade practices used commonly.,"This fair-trade coffee's nutty aroma and balanced taste form a smooth profile with subtle hazelnut notes and a velvety finish. The beans are sourced under Fair Trade Certified™ standards that make trade more equitable, ensuring farmers, workers, and producers are paid fairly, work in safe conditions, and can invest in their communities.",-0.029605528000000006,-0.0004352410000000029,-0.032322798199999996,-0.095174655,-0.044192930500000005,True,21,52,31
